a 49 13
aa 6 8
aaa 18 0
aaaa 3 0
aaaaa 1 0
aaaaaaaaadc 0 1
aaaaaaaaaew 0 1
aaaaaaaaato 0 1
aaaaaaaabhc 0 1
aaaaaaaagy 1 0
aaahc 0 24
aaalac 0 1
aaanswer 6 1
aaba 0 5
aabaaiafcq 0 1
aabc 0 1
aacf 0 1
aacvpr 0 2
aae 1 0
aaf 1 0
aafco 8 3
aaguineapig 2 0
aakfc 0 1
aan 0 3
aanbieden 0 1
aantasten 0 1
aarc 0 1
aaron 1 2
aarp 0 19
aarpmedicareplan 0 1
aartiesha 0 2
aasd 1 0
aat 0 6
aatb 0 4
ab 27 10
aba 3 0
abaa 0 5
abacavir 3 0
abandon 9 7
abandonment 0 1
abatement 0 4
abattoir 8 2
abbaye 4 0
abbestellt 1 0
abbeville 0 1
abbey 3 1
abbie 3 0
abbington 0 2
abbit 1 0
abbott 2 1
abbr 1 0
abbreviate 0 1
abbreviation 0 4
abby 3 2
abc 53 9
abcb 0 5
abcess 0 6
abd 0 1
abdomen 6 47
abdominal 17 128
abdon 1 0
abduct 2 0
abdulmassih 0 1
abe 5 0
abeja 3 0
aberdeen 1 1
abf 0 1
abg 0 1
abga 1 0
abgvq 2 0
abhay 0 1
abhorrent 3 0
abhw 1 0
abide 2 0
abigail 3 3
abilene 2 0
abilify 3 0
ability 75 88
abingdon 1 0
abington 0 1
abiquiu 0 1
ablation 0 39
able 157 224
ablitiy 1 0
abnormal 6 21
abnormality 14 53
abnormally 0 4
abo 0 9
aboard 1 2
abode 1 0
abog 0 3
abogado 0 3
abolitionist 1 0
abort 0 2
abortion 1 2
abou 6 0
abound 4 11
aboutastro 1 0
aboutcrohnsdisease 0 1
aboutfarm 1 0
aboutlancs 0 2
aboutmyplanet 1 0
aboutrabbit 1 0
aboy 0 2
abracadabra 1 0
abrade 4 0
abraham 1 0
abram 0 1
abrasion 1 0
abrasive 8 2
abreast 0 2
abreva 1 0
abridge 1 0
abrigo 1 0
